LOC,YEAR,YearCode,Harvest,ENT,Entry,Row,Range,Block,Serpentine,treatment,Alfalfa_WinterSurvival,Alfalfa_SpringStandCount,Alfalfa_SpringVigor,Alfalfa_SpringMaturity,SpringDiseaseIncidence,SpringDiseaseSeverity,Alfalfa_SpringHeight,IWG_SpringHeight,Alfalfa_SummerMaturity,Alfalfa_SummerStandCount,Alfalfa_SummerHeight,IWG_SummerHeight,Lodging,SummerDiseaseIncidence,SummerDiseaseSeverity,Alfalfa_Summer_Biomass(g),Weed_SummerBiomass(g),IWG_SummerBiomass(g),Grain_SummerBiomass(g) ,Grain_SummerThreshed(g),SummerPostHarvestStandCount,SummerPostHarvestVigor,Alfalfa_FallStandCount,IWG_FallStandCount,Alfalfa_FallMaturity,Alfalfa_FallHeight,IWG_FallHeight,Alfalfa_FallBiomass(g),Weed_FallBiomass(g),IWG_FallBiomass(g)
NY_MG2,2024,A,Fall,7,IWAF-L-WI1,1,1,1,1,monoculture,,,,,,,,,,,,,,,,,,,,,,,100,80,,4.25,4.75,,,
NY_MG2,2024,A,Fall,11,AVC2,1,2,2,2,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,5.25,9.75,,,
NY_MG2,2024,A,Fall,13,AVC3,1,3,3,3,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,3.5,9,,,
NY_MG2,2024,A,Fall,29,NY1713,1,4,4,4,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,5.25,9.75,,,
NY_MG2,2024,A,Fall,19,INTALF20,2,4,4,5,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,4.75,10.75,,,
NY_MG2,2024,A,Fall,26,UMN #5560,2,3,3,6,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,50,,4.5,8.5,,,
NY_MG2,2024,A,Fall,5,IWAF-L-MN1,2,2,2,7,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,3.75,10.5,,,
NY_MG2,2024,A,Fall,18,AVC14,2,1,1,8,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,5.25,10.25,,,
NY_MG2,2024,A,Fall,6,IWAF-H-MN1,3,1,1,9,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,80,,4,8,,,
NY_MG2,2024,A,Fall,26,UMN #5560,3,2,2,10,monoculture,,,,,,,,,,,,,,,,,,,,,,,100,100,,3.25,3.75,,,
NY_MG2,2024,A,Fall,27,UMN #5561,3,3,3,11,intercrop,,,,,,,,,,,,,,,,,,,,,,,95,70,,4.75,9.5,,,
NY_MG2,2024,A,Fall,21,IAFAL-C3,3,4,4,12,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,2.75,7.75,,,
NY_MG2,2024,A,Fall,22,UMN #4352,4,4,4,13,intercrop,,,,,,,,,,,,,,,,,,,,,,,90,50,,4.25,8.5,,,
NY_MG2,2024,A,Fall,7,IWAF-L-WI1,4,3,3,14,monoculture,,,,,,,,,,,,,,,,,,,,,,,100,100,,3.25,3.5,,,
NY_MG2,2024,A,Fall,29,NY1713,4,2,2,15,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,50,,4.5,8.75,,,
NY_MG2,2024,A,Fall,9,AVC1,4,1,1,16,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,5.25,9,,,
NY_MG2,2024,A,Fall,16,AVC11,5,1,1,17,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,4.75,8.5,,,
NY_MG2,2024,A,Fall,27,UMN #5561,5,2,2,18,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,4,7,,,
NY_MG2,2024,A,Fall,8,IWAF-H-WI1,5,3,3,19,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,3.75,8.25,,,
NY_MG2,2024,A,Fall,24,UMN #5553,5,4,4,20,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,5.25,9.25,,,
NY_MG2,2024,A,Fall,6,IWAF-H-MN1,6,4,4,21,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,4.5,9.25,,,
NY_MG2,2024,A,Fall,28,NY19-45,6,3,3,22,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,3,8.5,,,
NY_MG2,2024,A,Fall,9,AVC1,6,2,2,23,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,4.5,10,,,
NY_MG2,2024,A,Fall,6,IWAF-H-MN1,6,1,1,24,monoculture,,,,,,,,,,,,,,,,,,,,,,,100,100,,4.5,3.75,,,
NY_MG2,2024,A,Fall,17,AVC5,7,1,1,25,intercrop,,,,,,,,,,,,,,,,,,,,,,,95,60,,4.75,8.75,,,
NY_MG2,2024,A,Fall,27,UMN #5561,7,2,2,26,monoculture,,,,,,,,,,,,,,,,,,,,,,,100,100,,3.5,3,,,
NY_MG2,2024,A,Fall,10,AVC6,7,3,3,27,intercrop,,,,,,,,,,,,,,,,,,,,,,,90,70,,3.25,8.5,,,
NY_MG2,2024,A,Fall,27,UMN #5561,7,4,4,28,intercrop,,,,,,,,,,,,,,,,,,,,,,,80,60,,4.5,8.5,,,
NY_MG2,2024,A,Fall,8,IWAF-H-WI1,8,4,4,29,intercrop,,,,,,,,,,,,,,,,,,,,,,,90,40,,5,9.25,,,
NY_MG2,2024,A,Fall,21,IAFAL-C3,8,3,3,30,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,2,8.25,,,
NY_MG2,2024,A,Fall,5,IWAF-L-MN1,8,2,2,31,monoculture,,,,,,,,,,,,,,,,,,,,,,,100,100,,3.5,3,,,
NY_MG2,2024,A,Fall,26,UMN #5560,8,1,1,32,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,50,,3.25,9.25,,,
NY_MG2,2024,A,Fall,28,NY19-45,9,1,1,33,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,4.75,9.5,,,
NY_MG2,2024,A,Fall,23,UMN #4353,9,2,2,34,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,3.75,9.5,,,
NY_MG2,2024,A,Fall,2,IWAF-H-Base,9,3,3,35,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,3.5,8.5,,,
NY_MG2,2024,A,Fall,5,IWAF-L-MN1,9,4,4,36,monoculture,,,,,,,,,,,,,,,,,,,,,,,100,100,,4.75,5.5,,,
NY_MG2,2024,A,Fall,1,IWAF-L-Base,10,4,4,37,intercrop,,,,,,,,,,,,,,,,,,,,,,,90,40,,4.25,8.5,,,
NY_MG2,2024,A,Fall,5,IWAF-L-MN1,10,3,3,38,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,50,,3.75,8.75,,,
NY_MG2,2024,A,Fall,24,UMN #5553,10,2,2,39,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,4,8.75,,,
NY_MG2,2024,A,Fall,14,AVC9,10,1,1,40,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,4.5,9.25,,,
NY_MG2,2024,A,Fall,29,NY1713,11,1,1,41,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,5,8,,,
NY_MG2,2024,A,Fall,6,IWAF-H-MN1,11,2,2,42,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,80,,4.25,8,,,
NY_MG2,2024,A,Fall,25,UMN #5555,11,3,3,43,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,4.5,8.75,,,
NY_MG2,2024,A,Fall,9,AVC1,11,4,4,44,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,6.75,8.25,,,
NY_MG2,2024,A,Fall,3,IWAF-L-KS1,12,4,4,45,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,5.75,9,,,
NY_MG2,2024,A,Fall,23,UMN #4353,12,3,3,46,intercrop,,,,,,,,,,,,,,,,,,,,,,,65,60,,3.75,8.75,,,
NY_MG2,2024,A,Fall,25,UMN #5555,12,2,2,47,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,80,,4.5,8.75,,,
NY_MG2,2024,A,Fall,3,IWAF-L-KS1,12,1,1,48,monoculture,,,,,,,,,,,,,,,,,,,,,,,100,100,,5.25,3.75,,,
NY_MG2,2024,A,Fall,24,UMN #5553,13,1,1,49,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,80,,4.75,9,,,
NY_MG2,2024,A,Fall,22,UMN #4352,13,2,2,50,intercrop,,,,,,,,,,,,,,,,,,,,,,,85,60,,2.5,8,,,
NY_MG2,2024,A,Fall,3,IWAF-L-KS1,13,3,3,51,monoculture,,,,,,,,,,,,,,,,,,,,,,,100,70,,3.75,2.75,,,
NY_MG2,2024,A,Fall,26,UMN #5560,13,4,4,52,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,4.5,9.25,,,
NY_MG2,2024,A,Fall,5,IWAF-L-MN1,14,4,4,53,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,5.5,9,,,
NY_MG2,2024,A,Fall,19,INTALF20,14,3,3,54,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,3.75,8.5,,,
NY_MG2,2024,A,Fall,2,IWAF-H-Base,14,2,2,55,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,3.75,9,,,
NY_MG2,2024,A,Fall,1,IWAF-L-Base,14,1,1,56,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,5,8.5,,,
NY_MG2,2024,A,Fall,20,Larry15,15,1,1,57,monoculture,,,,,,,,,,,,,,,,,,,,,,,65,100,,3,5,,,
NY_MG2,2024,A,Fall,19,INTALF20,15,2,2,58,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,90,,4.5,8.5,,,
NY_MG2,2024,A,Fall,9,AVC1,15,3,3,59,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,4.5,9.25,,,
NY_MG2,2024,A,Fall,27,UMN #5561,15,4,4,60,monoculture,,,,,,,,,,,,,,,,,,,,,,,100,100,,4.5,4.75,,,
NY_MG2,2024,A,Fall,8,IWAF-H-WI1,16,4,4,61,monoculture,,,,,,,,,,,,,,,,,,,,,,,100,100,,4.25,4.25,,,
NY_MG2,2024,A,Fall,3,IWAF-L-KS1,16,3,3,62,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,80,,3.75,8.5,,,
NY_MG2,2024,A,Fall,17,AVC5,16,2,2,63,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,80,,4.5,9.5,,,
NY_MG2,2024,A,Fall,8,IWAF-H-WI1,16,1,1,64,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,90,,4.25,10,,,
NY_MG2,2024,A,Fall,25,UMN #5555,17,1,1,65,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,90,,5,8.25,,,
NY_MG2,2024,A,Fall,8,IWAF-H-WI1,17,2,2,66,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,90,,3.5,8.25,,,
NY_MG2,2024,A,Fall,18,AVC14,17,3,3,67,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,3.75,8.5,,,
NY_MG2,2024,A,Fall,20,Larry15,17,4,4,68,intercrop,,,,,,,,,,,,,,,,,,,,,,,90,60,,3.25,7.75,,,
NY_MG2,2024,A,Fall,14,AVC9,18,4,4,69,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,50,,4.75,8.5,,,
NY_MG2,2024,A,Fall,12,AVC7,18,3,3,70,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,3.5,9,,,
NY_MG2,2024,A,Fall,14,AVC9,18,2,2,71,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,4.25,7.75,,,
NY_MG2,2024,A,Fall,27,UMN #5561,18,1,1,72,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,4,9.25,,,
NY_MG2,2024,A,Fall,22,UMN #4352,19,1,1,73,intercrop,,,,,,,,,,,,,,,,,,,,,,,85,80,,3.75,8.5,,,
NY_MG2,2024,A,Fall,26,UMN #5560,19,2,2,74,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,4.5,8.25,,,
NY_MG2,2024,A,Fall,7,IWAF-L-WI1,19,3,3,75,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,80,,3,6.5,,,
NY_MG2,2024,A,Fall,2,IWAF-H-Base,19,4,4,76,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,50,,4.25,8.5,,,
NY_MG2,2024,A,Fall,15,AVC4,20,4,4,77,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,5.25,9,,,
NY_MG2,2024,A,Fall,20,Larry15,20,3,3,78,monoculture,,,,,,,,,,,,,,,,,,,,,,,85,100,,2.25,3.25,,,
NY_MG2,2024,A,Fall,8,IWAF-H-WI1,20,2,2,79,monoculture,,,,,,,,,,,,,,,,,,,,,,,100,100,,3.25,3.75,,,
NY_MG2,2024,A,Fall,23,UMN #4353,20,1,1,80,intercrop,,,,,,,,,,,,,,,,,,,,,,,90,80,,4,9.75,,,
NY_MG2,2024,A,Fall,7,IWAF-L-WI1,21,1,1,81,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,5,9.5,,,
NY_MG2,2024,A,Fall,10,AVC6,21,2,2,82,intercrop,,,,,,,,,,,,,,,,,,,,,,,90,60,,4.25,8.75,,,
NY_MG2,2024,A,Fall,16,AVC11,21,3,3,83,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,80,,4,8,,,
NY_MG2,2024,A,Fall,13,AVC3,21,4,4,84,intercrop,,,,,,,,,,,,,,,,,,,,,,,80,50,,3.75,8.25,,,
NY_MG2,2024,A,Fall,7,IWAF-L-WI1,22,4,4,85,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,3.25,9,,,
NY_MG2,2024,A,Fall,20,Larry15,22,3,3,86,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,50,,2.5,8.75,,,
NY_MG2,2024,A,Fall,13,AVC3,22,2,2,87,intercrop,,,,,,,,,,,,,,,,,,,,,,,95,80,,5,9.5,,,
NY_MG2,2024,A,Fall,15,AVC4,22,1,1,88,intercrop,,,,,,,,,,,,,,,,,,,,,,,75,60,,4.75,9.75,,,
NY_MG2,2024,A,Fall,2,IWAF-H-Base,23,1,1,89,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,4.75,9.5,,,
NY_MG2,2024,A,Fall,3,IWAF-L-KS1,23,2,2,90,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,50,,5,9,,,
NY_MG2,2024,A,Fall,15,AVC4,23,3,3,91,intercrop,,,,,,,,,,,,,,,,,,,,,,,80,60,,4.25,9.5,,,
NY_MG2,2024,A,Fall,10,AVC6,23,4,4,92,intercrop,,,,,,,,,,,,,,,,,,,,,,,85,70,,3.75,8.25,,,
NY_MG2,2024,A,Fall,18,AVC14,24,4,4,93,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,3.75,8.25,,,
NY_MG2,2024,A,Fall,17,AVC5,24,3,3,94,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,3.5,9.5,,,
NY_MG2,2024,A,Fall,28,NY19-45,24,2,2,95,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,4.25,8.5,,,
NY_MG2,2024,A,Fall,21,IAFAL-C3,24,1,1,96,intercrop,,,,,,,,,,,,,,,,,,,,,,,80,60,,3,9.25,,,
NY_MG2,2024,A,Fall,19,INTALF20,25,1,1,97,intercrop,,,,,,,,,,,,,,,,,,,,,,,70,70,,5.25,9.5,,,
NY_MG2,2024,A,Fall,18,AVC14,25,2,2,98,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,50,,5.5,8.5,,,
NY_MG2,2024,A,Fall,6,IWAF-H-MN1,25,3,3,99,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,4,8.25,,,
NY_MG2,2024,A,Fall,17,AVC5,25,4,4,100,intercrop,,,,,,,,,,,,,,,,,,,,,,,95,60,,3.75,8.75,,,
NY_MG2,2024,A,Fall,26,UMN #5560,26,4,4,101,monoculture,,,,,,,,,,,,,,,,,,,,,,,100,100,,4.75,3.75,,,
NY_MG2,2024,A,Fall,22,UMN #4352,26,3,3,102,intercrop,,,,,,,,,,,,,,,,,,,,,,,70,60,,2.75,9.25,,,
NY_MG2,2024,A,Fall,15,AVC4,26,2,2,103,intercrop,,,,,,,,,,,,,,,,,,,,,,,70,50,,4.75,9.5,,,
NY_MG2,2024,A,Fall,3,IWAF-L-KS1,26,1,1,104,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,5,10,,,
NY_MG2,2024,A,Fall,13,AVC3,27,1,1,105,intercrop,,,,,,,,,,,,,,,,,,,,,,,70,60,,4.75,10.5,,,
NY_MG2,2024,A,Fall,1,IWAF-L-Base,27,2,2,106,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,80,,4.5,8.5,,,
NY_MG2,2024,A,Fall,11,AVC2,27,3,3,107,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,5.25,8.25,,,
NY_MG2,2024,A,Fall,16,AVC11,27,4,4,108,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,70,,4.25,8.25,,,
NY_MG2,2024,A,Fall,28,NY19-45,28,4,4,109,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,4,8.25,,,
NY_MG2,2024,A,Fall,24,UMN #5553,28,3,3,110,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,50,,4.5,9.25,,,
NY_MG2,2024,A,Fall,16,AVC11,28,2,2,111,intercrop,,,,,,,,,,,,,,,,,,,,,,,90,60,,5,9.25,,,
NY_MG2,2024,A,Fall,20,Larry15,28,1,1,112,intercrop,,,,,,,,,,,,,,,,,,,,,,,80,60,,3.75,10,,,
NY_MG2,2024,A,Fall,11,AVC2,29,1,1,113,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,80,,6,9.25,,,
NY_MG2,2024,A,Fall,20,Larry15,29,2,2,114,intercrop,,,,,,,,,,,,,,,,,,,,,,,85,70,,2.75,8.5,,,
NY_MG2,2024,A,Fall,6,IWAF-H-MN1,29,3,3,115,monoculture,,,,,,,,,,,,,,,,,,,,,,,100,100,,4,4.25,,,
NY_MG2,2024,A,Fall,12,AVC7,29,4,4,116,intercrop,,,,,,,,,,,,,,,,,,,,,,,90,70,,3.75,9,,,
NY_MG2,2024,A,Fall,11,AVC2,30,4,4,117,intercrop,,,,,,,,,,,,,,,,,,,,,,,95,70,,4.5,9.25,,,
NY_MG2,2024,A,Fall,29,NY1713,30,3,3,118,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,4,9.25,,,
NY_MG2,2024,A,Fall,21,IAFAL-C3,30,2,2,119,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,50,,3,8.5,,,
NY_MG2,2024,A,Fall,12,AVC7,30,1,1,120,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,50,,5.25,10,,,
NY_MG2,2024,A,Fall,5,IWAF-L-MN1,31,1,1,121,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,80,,5.5,8.25,,,
NY_MG2,2024,A,Fall,7,IWAF-L-WI1,31,2,2,122,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,3.75,8.75,,,
NY_MG2,2024,A,Fall,14,AVC9,31,3,3,123,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,4.25,8.5,,,
NY_MG2,2024,A,Fall,23,UMN #4353,31,4,4,124,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,80,,4.25,9,,,
NY_MG2,2024,A,Fall,25,UMN #5555,32,4,4,125,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,4.25,7.75,,,
NY_MG2,2024,A,Fall,1,IWAF-L-Base,32,3,3,126,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,4,9.25,,,
NY_MG2,2024,A,Fall,12,AVC7,32,2,2,127,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,50,,4,9.25,,,
NY_MG2,2024,A,Fall,10,AVC6,32,1,1,128,intercrop,,,,,,,,,,,,,,,,,,,,,,,95,50,,5.25,9.25,,,
NY_MG2,2025,B,Spring,7,IWAF-L-WI1,1,1,1,1,monoculture,1,100,3,2,10,1,69.6,65.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,11,AVC2,1,2,2,2,intercrop,1.2,95,4,3,20,1,69,79.6,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,13,AVC3,1,3,3,3,intercrop,1.2,90,2,3,5,1,70,72.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,29,NY1713,1,4,4,4,intercrop,1.2,95,4,3,20,2,67,72.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,19,INTALF20,2,4,4,5,intercrop,1.4,95,3,2,15,2,65.8,74,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,26,UMN #5560,2,3,3,6,intercrop,1,95,3,3,15,2,66,74.6,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,5,IWAF-L-MN1,2,2,2,7,intercrop,1.4,100,5,3,10,3,69.6,76.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,18,AVC14,2,1,1,8,intercrop,1,95,4,3,20,1,60,61.8,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,6,IWAF-H-MN1,3,1,1,9,intercrop,1.6,85,2,2,5,1,67,73.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,26,UMN #5560,3,2,2,10,monoculture,1.2,90,2,2,0,0,59.8,70.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,27,UMN #5561,3,3,3,11,intercrop,1.4,80,3,2,15,3,65.6,72.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,21,IAFAL-C3,3,4,4,12,intercrop,1,80,2,2,10,1,66.6,68.6,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,22,UMN #4352,4,4,4,13,intercrop,1.4,90,4,2,10,2,65.8,74.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,7,IWAF-L-WI1,4,3,3,14,monoculture,1.4,95,5,3,15,1,70.8,71,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,29,NY1713,4,2,2,15,intercrop,1,95,4,2,5,1,63.8,78.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,9,AVC1,4,1,1,16,intercrop,1.2,100,5,3,10,1,71.6,78,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,16,AVC11,5,1,1,17,intercrop,1.2,95,4,2,5,1,67.8,73.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,27,UMN #5561,5,2,2,18,intercrop,1.4,90,3,2,5,1,67.8,77.8,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,8,IWAF-H-WI1,5,3,3,19,intercrop,1,95,3,2,15,1,61.6,75.6,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,24,UMN #5553,5,4,4,20,intercrop,1.6,95,4,2,15,1,53.8,69.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,6,IWAF-H-MN1,6,4,4,21,intercrop,1,100,4,3,20,1,71.4,75,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,28,NY19-45,6,3,3,22,intercrop,2.2,80,1,2,5,1,60,76.8,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,9,AVC1,6,2,2,23,intercrop,1.6,95,3,3,5,1,68.6,79.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,6,IWAF-H-MN1,6,1,1,24,monoculture,1,100,4,2,15,2,67.8,67.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,17,AVC5,7,1,1,25,intercrop,1.4,95,5,3,5,1,70.8,78.8,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,27,UMN #5561,7,2,2,26,monoculture,2,95,1,2,10,1,61,59.6,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,10,AVC6,7,3,3,27,intercrop,1.8,90,1,2,0,0,63,77.8,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,27,UMN #5561,7,4,4,28,intercrop,1.4,90,2,2,10,1,63.6,70.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,8,IWAF-H-WI1,8,4,4,29,intercrop,1.2,100,5,2,20,1,72.4,68.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,21,IAFAL-C3,8,3,3,30,intercrop,1.8,95,2,2,0,0,63.4,75,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,5,IWAF-L-MN1,8,2,2,31,monoculture,1,95,4,2,10,1,64.8,59.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,26,UMN #5560,8,1,1,32,intercrop,1.2,100,3,3,10,1,71,75.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,28,NY19-45,9,1,1,33,intercrop,1,100,2,3,15,1,65.6,80.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,23,UMN #4353,9,2,2,34,intercrop,1.2,95,1,3,10,1,66.4,75.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,2,IWAF-H-Base,9,3,3,35,intercrop,1,100,1,3,5,1,64.4,73.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,5,IWAF-L-MN1,9,4,4,36,monoculture,1,90,4,2,15,2,65.8,61.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,1,IWAF-L-Base,10,4,4,37,intercrop,1,100,5,3,20,1,72.2,69.8,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,5,IWAF-L-MN1,10,3,3,38,intercrop,1.2,85,3,3,0,0,66.2,74.2,,,,,,,,,,,,,,,,,,,,,,
