Row,Range,Serpentine,Block,treatment,Subsample,Alfalfa height,Alfalfa_Height,Wheatgrass height,IWG_Height,Alfalfa maturity,Alfalfa spring stand count,lodging,disease incidence,disease severity
1,1,1,1,monoculture,1,50,46,50,47.66666667,6,100,1,0,0
1,1,1,1,monoculture,2,40,,45,,,,,,
1,1,1,1,monoculture,3,48,,48,,,,,,
1,2,2,2,intercrop,1,52,50.66666667,50,113.3333333,6,9,4,0,0
1,2,2,2,intercrop,2,45,,145,,,,,,
1,2,2,2,intercrop,3,55,,145,,,,,,
1,3,3,3,intercrop,1,35,40,140,141.6666667,6,100,6,5,1
1,3,3,3,intercrop,2,40,,130,,,,,,
1,3,3,3,intercrop,3,45,,155,,,,,,
1,4,4,4,intercrop,1,40,43.33333333,142,140.6666667,6,100,5,10,2
1,4,4,4,intercrop,2,50,,135,,,,,,
1,4,4,4,intercrop,3,40,,145,,,,,,
2,4,5,4,intercrop,1,60,50,165,138.3333333,6,9,7,0,0
2,4,5,4,intercrop,2,40,,130,,,,,,
2,4,5,4,intercrop,3,50,,120,,,,,,
2,3,6,3,intercrop,1,52,46.66666667,142,132.3333333,7,9,7,0,0
2,3,6,3,intercrop,2,43,,130,,,,,,
2,3,6,3,intercrop,3,45,,125,,,,,,
2,2,7,2,intercrop,1,50,61.66666667,126,127,6,100,4,0,0
2,2,7,2,intercrop,2,50,,125,,,,,,
2,2,7,2,intercrop,3,85,,130,,,,,,
2,1,8,1,intercrop,1,62,55,126,133.6666667,6,100,4,0,0
2,1,8,1,intercrop,2,45,,145,,,,,,
2,1,8,1,intercrop,3,58,,130,,,,,,
3,1,9,1,intercrop,1,65,58.33333333,110,116.6666667,8,100,4,5,2
3,1,9,1,intercrop,2,45,,100,,,,,,
3,1,9,1,intercrop,3,65,,140,,,,,,
3,2,10,2,monoculture,1,45,44,40,55,6,100,2,0,0
3,2,10,2,monoculture,2,35,,60,,,,,,
3,2,10,2,monoculture,3,52,,65,,,,,,
3,3,11,3,intercrop,1,44,44,80,78.33333333,6,100,5,15,1
3,3,11,3,intercrop,2,46,,75,,,,,,
3,3,11,3,intercrop,3,42,,80,,,,,,
3,4,12,4,intercrop,1,34,41.33333333,130,126.6666667,6,100,6,0,0
3,4,12,4,intercrop,2,38,,130,,,,,,
3,4,12,4,intercrop,3,52,,120,,,,,,
4,4,13,4,intercrop,1,40,40,120,123.3333333,6,100,3,20,2
4,4,13,4,intercrop,2,38,,135,,,,,,
4,4,13,4,intercrop,3,42,,115,,,,,,
4,3,14,3,monoculture,1,32,38,28,36,6,8,7,0,0
4,3,14,3,monoculture,2,40,,35,,,,,,
4,3,14,3,monoculture,3,42,,45,,,,,,
4,2,15,2,intercrop,1,62,57,130,136.6666667,8,7,1,0,0
4,2,15,2,intercrop,2,65,,130,,,,,,
4,2,15,2,intercrop,3,44,,150,,,,,,
4,1,16,1,intercrop,1,56,51.66666667,100,108.3333333,6,100,1,15,1
4,1,16,1,intercrop,2,54,,115,,,,,,
4,1,16,1,intercrop,3,45,,110,,,,,,
5,1,17,1,intercrop,1,45,52.66666667,115,125,6,100,1,0,0
5,1,17,1,intercrop,2,57,,115,,,,,,
5,1,17,1,intercrop,3,56,,145,,,,,,
5,2,18,2,intercrop,1,44,44,95,76.66666667,6,7,2,0,0
5,2,18,2,intercrop,2,35,,70,,,,,,
5,2,18,2,intercrop,3,53,,65,,,,,,
5,3,19,3,intercrop,1,41,43,80,86.66666667,6,9,7,0,0
5,3,19,3,intercrop,2,40,,65,,,,,,
5,3,19,3,intercrop,3,48,,115,,,,,,
5,4,20,4,intercrop,1,46,52,130,130,6,100,5,5,3
5,4,20,4,intercrop,2,55,,135,,,,,,
5,4,20,4,intercrop,3,55,,125,,,,,,
6,4,21,4,intercrop,1,55,50.66666667,105,121.6666667,6,100,3,5,1
6,4,21,4,intercrop,2,54,,120,,,,,,
6,4,21,4,intercrop,3,43,,140,,,,,,
6,3,22,3,intercrop,1,34,39.66666667,100,103.3333333,6,9,7,0,0
6,3,22,3,intercrop,2,45,,110,,,,,,
6,3,22,3,intercrop,3,40,,100,,,,,,
6,2,23,2,intercrop,1,64,56.33333333,90,95,7,100,4,5,1
6,2,23,2,intercrop,2,62,,85,,,,,,
6,2,23,2,intercrop,3,43,,110,,,,,,
6,1,24,1,monoculture,1,52,55.33333333,55,60,8,100,1,20,1
6,1,24,1,monoculture,2,64,,55,,,,,,
6,1,24,1,monoculture,3,50,,70,,,,,,
7,1,25,1,intercrop,1,55,49.33333333,125,126.6666667,6,100,6,5,1
7,1,25,1,intercrop,2,47,,135,,,,,,
7,1,25,1,intercrop,3,46,,120,,,,,,
7,2,26,2,monoculture,1,55,50,55,50,6,9,1,0,0
7,2,26,2,monoculture,2,49,,55,,,,,,
7,2,26,2,monoculture,3,46,,40,,,,,,
7,3,27,3,intercrop,1,47,42.66666667,100,101.6666667,7,8,6,0,0
7,3,27,3,intercrop,2,36,,70,,,,,,
7,3,27,3,intercrop,3,45,,135,,,,,,
7,4,28,4,intercrop,1,60,53.66666667,115,115,6,9,7,5,1
7,4,28,4,intercrop,2,46,,130,,,,,,
7,4,28,4,intercrop,3,55,,100,,,,,,
8,4,29,4,intercrop,1,45,43.33333333,135,136.6666667,8,100,6,20,2
8,4,29,4,intercrop,2,43,,130,,,,,,
8,4,29,4,intercrop,3,42,,145,,,,,,
8,3,30,3,intercrop,1,34,36,120,95,6,100,3,0,0
8,3,30,3,intercrop,2,35,,80,,,,,,
8,3,30,3,intercrop,3,39,,85,,,,,,
8,2,31,2,monoculture,1,50,43,49,47,6,100,4,0,0
8,2,31,2,monoculture,2,44,,44,,,,,,
8,2,31,2,monoculture,3,35,,48,,,,,,
8,1,32,1,intercrop,1,43,51,140,131.6666667,6,9,3,5,1
8,1,32,1,intercrop,2,56,,145,,,,,,
8,1,32,1,intercrop,3,54,,110,,,,,,
9,1,33,1,intercrop,1,57,52.66666667,95,103.3333333,6,100,5,0,0
9,1,33,1,intercrop,2,45,,80,,,,,,
9,1,33,1,intercrop,3,56,,135,,,,,,
9,2,34,2,intercrop,1,46,51,120,118.3333333,6,9,1,10,1
9,2,34,2,intercrop,2,57,,115,,,,,,
9,2,34,2,intercrop,3,50,,120,,,,,,
9,3,35,3,intercrop,1,39,48.33333333,85,95,6,100,6,0,0
9,3,35,3,intercrop,2,50,,90,,,,,,
9,3,35,3,intercrop,3,56,,110,,,,,,
9,4,36,4,monoculture,1,40,43,45,45,7,9,4,5,1
9,4,36,4,monoculture,2,45,,40,,,,,,
9,4,36,4,monoculture,3,44,,50,,,,,,
10,4,37,4,intercrop,1,44,47.33333333,135,235,7,100,1,15,1
10,4,37,4,intercrop,2,47,,440,,,,,,
10,4,37,4,intercrop,3,51,,130,,,,,,
10,3,38,3,intercrop,1,54,44.66666667,90,95,6,100,5,5,1
10,3,38,3,intercrop,2,42,,95,,,,,,
10,3,38,3,intercrop,3,38,,100,,,,,,
10,2,39,2,intercrop,1,56,56.33333333,115,115,6,100,2,10,1
10,2,39,2,intercrop,2,66,,110,,,,,,
10,2,39,2,intercrop,3,47,,120,,,,,,
10,1,40,1,intercrop,1,77,65.66666667,135,120,6,100,2,0,0
10,1,40,1,intercrop,2,59,,90,,,,,,
10,1,40,1,intercrop,3,61,,135,,,,,,
11,1,41,1,intercrop,1,53,50,405,218.3333333,6,100,1,0,0
11,1,41,1,intercrop,2,52,,130,,,,,,
11,1,41,1,intercrop,3,45,,120,,,,,,
11,2,42,2,intercrop,1,56,50.33333333,95,211.6666667,6,100,2,0,0
11,2,42,2,intercrop,2,50,,410,,,,,,
11,2,42,2,intercrop,3,45,,130,,,,,,
11,3,43,3,intercrop,1,40,40.33333333,80,98.33333333,6,9,5,5,1
11,3,43,3,intercrop,2,39,,110,,,,,,
11,3,43,3,intercrop,3,42,,105,,,,,,
11,4,44,4,intercrop,1,46,48.66666667,130,123.3333333,6,9,4,5,2
11,4,44,4,intercrop,2,50,,115,,,,,,
11,4,44,4,intercrop,3,50,,125,,,,,,
12,4,45,4,intercrop,1,53,48.66666667,95,121.6666667,6,9,1,10,1
12,4,45,4,intercrop,2,46,,140,,,,,,
12,4,45,4,intercrop,3,47,,130,,,,,,
12,3,46,3,intercrop,1,53,43.66666667,100,103.3333333,5,9,3,13,2
12,3,46,3,intercrop,2,36,,80,,,,,,
12,3,46,3,intercrop,3,42,,130,,,,,,
12,2,47,2,intercrop,1,52,54,125,98.33333333,6,100,6,0,0
12,2,47,2,intercrop,2,50,,75,,,,,,
12,2,47,2,intercrop,3,60,,95,,,,,,
12,1,48,1,monoculture,1,54,51.33333333,65,63.33333333,6,100,1,5,1
12,1,48,1,monoculture,2,50,,50,,,,,,
12,1,48,1,monoculture,3,50,,75,,,,,,
13,1,49,1,intercrop,1,46,48.33333333,120,120,7,9,2,10,1
13,1,49,1,intercrop,2,44,,130,,,,,,
13,1,49,1,intercrop,3,55,,110,,,,,,
13,2,50,2,intercrop,1,55,50.33333333,135,118.3333333,6,9,4,5,1
13,2,50,2,intercrop,2,44,,105,,,,,,
13,2,50,2,intercrop,3,52,,115,,,,,,
13,3,51,3,monoculture,1,41,43.33333333,42,35.66666667,6,8,4,5,1
13,3,51,3,monoculture,2,33,,25,,,,,,
13,3,51,3,monoculture,3,56,,40,,,,,,
13,4,52,4,intercrop,1,42,46.33333333,120,115,6,100,4,15,1
13,4,52,4,intercrop,2,56,,110,,,,,,
13,4,52,4,intercrop,3,41,,115,,,,,,
14,4,53,4,intercrop,1,42,52.33333333,130,133.3333333,8,9,1,0,0
14,4,53,4,intercrop,2,45,,125,,,,,,
14,4,53,4,intercrop,3,70,,145,,,,,,
14,3,54,3,intercrop,1,54,48,120,113.3333333,7,100,4,0,0
14,3,54,3,intercrop,2,43,,110,,,,,,
14,3,54,3,intercrop,3,47,,110,,,,,,
14,2,55,2,intercrop,1,57,57,140,116.6666667,6,9,7,0,0
14,2,55,2,intercrop,2,60,,105,,,,,,
14,2,55,2,intercrop,3,54,,105,,,,,,
14,1,56,1,intercrop,1,54,52.33333333,130,123.3333333,8,100,2,10,1
14,1,56,1,intercrop,2,50,,120,,,,,,
14,1,56,1,intercrop,3,53,,120,,,,,,
15,1,57,1,monoculture,1,48,46,45,57.33333333,6,100,2,0,0
15,1,57,1,monoculture,2,50,,66,,,,,,
15,1,57,1,monoculture,3,40,,61,,,,,,
15,2,58,2,intercrop,1,70,69,120,125,6,100,1,0,0
15,2,58,2,intercrop,2,76,,120,,,,,,
15,2,58,2,intercrop,3,61,,135,,,,,,
15,3,59,3,intercrop,1,47,53,25,91.66666667,7,100,3,20,1
15,3,59,3,intercrop,2,55,,125,,,,,,
15,3,59,3,intercrop,3,57,,125,,,,,,
15,4,60,4,monoculture,1,53,49.66666667,65,55,6,100,0,10,1
15,4,60,4,monoculture,2,46,,65,,,,,,
15,4,60,4,monoculture,3,50,,35,,,,,,
16,4,61,4,monoculture,1,53,49.33333333,45,46.66666667,7,100,0,5,2
16,4,61,4,monoculture,2,45,,45,,,,,,
16,4,61,4,monoculture,3,50,,50,,,,,,
16,3,62,3,intercrop,1,50,43,25,73.33333333,6,8,5,15,2
16,3,62,3,intercrop,2,35,,110,,,,,,
16,3,62,3,intercrop,3,44,,85,,,,,,
16,2,63,2,intercrop,1,50,55.66666667,100,88.33333333,6,100,2,0,0
16,2,63,2,intercrop,2,53,,65,,,,,,
16,2,63,2,intercrop,3,64,,100,,,,,,
16,1,64,1,intercrop,1,44,54,130,101.6666667,8,9,2,0,0
16,1,64,1,intercrop,2,55,,80,,,,,,
16,1,64,1,intercrop,3,63,,95,,,,,,
17,1,65,1,intercrop,1,63,51.66666667,130,113.3333333,8,9,4,10,2
17,1,65,1,intercrop,2,42,,95,,,,,,
17,1,65,1,intercrop,3,50,,115,,,,,,
17,2,66,2,intercrop,1,51,53.66666667,50,65,6,100,7,0,0
17,2,66,2,intercrop,2,57,,70,,,,,,
17,2,66,2,intercrop,3,53,,75,,,,,,
17,3,67,3,intercrop,1,50,54.66666667,90,90,6,100,8,0,0
17,3,67,3,intercrop,2,53,,40,,,,,,
17,3,67,3,intercrop,3,61,,140,,,,,,
17,4,68,4,intercrop,1,65,50.66666667,130,138.3333333,6,100,1,0,0
17,4,68,4,intercrop,2,40,,140,,,,,,
17,4,68,4,intercrop,3,47,,145,,,,,,
18,4,69,4,intercrop,1,53,44.33333333,135,125,6,100,2,0,0
18,4,69,4,intercrop,2,40,,130,,,,,,
18,4,69,4,intercrop,3,40,,110,,,,,,
18,3,70,3,intercrop,1,50,54.33333333,110,96.66666667,6,100,3,5,1
18,3,70,3,intercrop,2,58,,85,,,,,,
18,3,70,3,intercrop,3,55,,95,,,,,,
18,2,71,2,intercrop,1,65,60.66666667,130,98.33333333,6,100,5,15,1
18,2,71,2,intercrop,2,52,,95,,,,,,
18,2,71,2,intercrop,3,65,,70,,,,,,
18,1,72,1,intercrop,1,46,48,90,103.3333333,6,100,4,5,1
18,1,72,1,intercrop,2,45,,110,,,,,,
18,1,72,1,intercrop,3,53,,110,,,,,,
19,1,73,1,intercrop,1,54,46,30,70,6,100,7,0,0
19,1,73,1,intercrop,2,45,,100,,,,,,
19,1,73,1,intercrop,3,39,,80,,,,,,
19,2,74,2,intercrop,1,50,48.33333333,90,200,8,9,7,10,1
19,2,74,2,intercrop,2,45,,420,,,,,,
19,2,74,2,intercrop,3,50,,90,,,,,,
19,3,75,3,intercrop,1,40,45.33333333,95,91.66666667,7,100,8,0,0
19,3,75,3,intercrop,2,43,,100,,,,,,
19,3,75,3,intercrop,3,53,,80,,,,,,
19,4,76,4,intercrop,1,41,43.66666667,135,120,6,100,1,5,1
19,4,76,4,intercrop,2,45,,100,,,,,,
19,4,76,4,intercrop,3,45,,125,,,,,,
20,4,77,4,intercrop,1,56,46.33333333,120,118.3333333,6,100,1,0,0
20,4,77,4,intercrop,2,40,,120,,,,,,
20,4,77,4,intercrop,3,43,,115,,,,,,
20,3,78,3,monoculture,1,43,45.66666667,45,46.66666667,6,9,6,0,0
20,3,78,3,monoculture,2,37,,40,,,,,,
20,3,78,3,monoculture,3,57,,55,,,,,,
20,2,79,2,monoculture,1,57,54.66666667,70,58.33333333,6,9,1,15,1
20,2,79,2,monoculture,2,50,,45,,,,,,
20,2,79,2,monoculture,3,57,,60,,,,,,
20,1,80,1,intercrop,1,64,66.66666667,125,126.6666667,7,100,7,20,1
20,1,80,1,intercrop,2,80,,110,,,,,,
20,1,80,1,intercrop,3,56,,145,,,,,,
21,1,81,1,intercrop,1,53,47,100,103.3333333,8,100,5,10,5
21,1,81,1,intercrop,2,43,,120,,,,,,
21,1,81,1,intercrop,3,45,,90,,,,,,
21,2,82,2,intercrop,1,55,44.66666667,120,115,8,100,3,20,1
21,2,82,2,intercrop,2,35,,110,,,,,,
21,2,82,2,intercrop,3,44,,115,,,,,,
21,3,83,3,intercrop,1,43,46.66666667,130,131.6666667,7,9,4,5,1
21,3,83,3,intercrop,2,50,,135,,,,,,
21,3,83,3,intercrop,3,47,,130,,,,,,
21,4,84,4,intercrop,1,44,47.33333333,115,120,8,9,5,0,0
21,4,84,4,intercrop,2,45,,115,,,,,,
21,4,84,4,intercrop,3,53,,130,,,,,,
22,4,85,4,intercrop,1,45,47.66666667,110,86.66666667,7,100,7,0,0
22,4,85,4,intercrop,2,45,,80,,,,,,
22,4,85,4,intercrop,3,53,,70,,,,,,
22,3,86,3,intercrop,1,63,51.33333333,55,80,6,9,7,0,0
22,3,86,3,intercrop,2,46,,75,,,,,,
22,3,86,3,intercrop,3,45,,110,,,,,,
22,2,87,2,intercrop,1,42,49,115,118.3333333,7,100,6,0,0
22,2,87,2,intercrop,2,50,,120,,,,,,
22,2,87,2,intercrop,3,55,,120,,,,,,
22,1,88,1,intercrop,1,77,66.33333333,115,106.6666667,6,100,5,5,1
22,1,88,1,intercrop,2,57,,110,,,,,,
22,1,88,1,intercrop,3,65,,95,,,,,,
23,1,89,1,intercrop,1,48,45.66666667,40,70,7,100,8,5,1
23,1,89,1,intercrop,2,39,,80,,,,,,
23,1,89,1,intercrop,3,50,,90,,,,,,
23,2,90,2,intercrop,1,46,46,95,101.6666667,6,100,8,5,1
23,2,90,2,intercrop,2,50,,90,,,,,,
23,2,90,2,intercrop,3,42,,120,,,,,,
23,3,91,3,intercrop,1,55,49.33333333,65,71.66666667,6,9,7,5,1
23,3,91,3,intercrop,2,43,,45,,,,,,
23,3,91,3,intercrop,3,50,,105,,,,,,
23,4,92,4,intercrop,1,40,42.33333333,100,90,8,9,2,0,0
23,4,92,4,intercrop,2,40,,95,,,,,,
23,4,92,4,intercrop,3,47,,75,,,,,,
24,4,93,4,intercrop,1,50,50.66666667,110,111.6666667,8,100,1,0,0
24,4,93,4,intercrop,2,45,,115,,,,,,
24,4,93,4,intercrop,3,57,,110,,,,,,
24,3,94,3,intercrop,1,48,54,90,93.33333333,6,100,8,0,0
24,3,94,3,intercrop,2,60,,130,,,,,,
24,3,94,3,intercrop,3,54,,60,,,,,,
24,2,95,2,intercrop,1,48,52.33333333,95,90,8,100,8,0,0
24,2,95,2,intercrop,2,44,,90,,,,,,
24,2,95,2,intercrop,3,65,,85,,,,,,
24,1,96,1,intercrop,1,50,50.33333333,135,118.3333333,6,100,7,0,0
24,1,96,1,intercrop,2,45,,100,,,,,,
24,1,96,1,intercrop,3,56,,120,,,,,,
25,1,97,1,intercrop,1,45,55.33333333,95,88.33333333,7,100,7,0,0
25,1,97,1,intercrop,2,66,,80,,,,,,
25,1,97,1,intercrop,3,55,,90,,,,,,
25,2,98,2,intercrop,1,63,53.33333333,105,101.6666667,6,100,6,0,0
25,2,98,2,intercrop,2,53,,85,,,,,,
25,2,98,2,intercrop,3,44,,115,,,,,,
25,3,99,3,intercrop,1,56,54.33333333,60,76.66666667,7,100,6,0,0
25,3,99,3,intercrop,2,53,,90,,,,,,
25,3,99,3,intercrop,3,54,,80,,,,,,
25,4,100,4,intercrop,1,47,50.33333333,135,121.6666667,6,100,4,0,0
25,4,100,4,intercrop,2,46,,105,,,,,,
25,4,100,4,intercrop,3,58,,125,,,,,,
26,4,101,4,monoculture,1,47,45.66666667,50,49.66666667,6,100,1,0,0
26,4,101,4,monoculture,2,47,,54,,,,,,
26,4,101,4,monoculture,3,43,,45,,,,,,
26,3,102,3,intercrop,1,59,57.33333333,100,80,6,100,8,0,0
26,3,102,3,intercrop,2,63,,90,,,,,,
26,3,102,3,intercrop,3,50,,50,,,,,,
26,2,103,2,intercrop,1,57,60.33333333,70,75,6,100,8,0,0
26,2,103,2,intercrop,2,70,,90,,,,,,
26,2,103,2,intercrop,3,54,,65,,,,,,
26,1,104,1,intercrop,1,68,65,110,111.6666667,6,100,7,0,0
26,1,104,1,intercrop,2,57,,115,,,,,,
26,1,104,1,intercrop,3,70,,110,,,,,,
27,1,105,1,intercrop,1,65,62,30,71.66666667,7,100,7,0,0
27,1,105,1,intercrop,2,63,,65,,,,,,
27,1,105,1,intercrop,3,58,,120,,,,,,
27,2,106,2,intercrop,1,50,44,75,73.33333333,6,100,7,5,1
27,2,106,2,intercrop,2,45,,70,,,,,,
27,2,106,2,intercrop,3,37,,75,,,,,,
27,3,107,3,intercrop,1,34,47,45,53.33333333,6,100,8,5,1
27,3,107,3,intercrop,2,50,,55,,,,,,
27,3,107,3,intercrop,3,57,,60,,,,,,
27,4,108,4,intercrop,1,41,44.66666667,120,118.3333333,6,9,1,0,0
27,4,108,4,intercrop,2,52,,125,,,,,,
27,4,108,4,intercrop,3,41,,110,,,,,,
28,4,109,4,intercrop,1,61,47.66666667,115,111.6666667,8,100,3,0,0
28,4,109,4,intercrop,2,41,,110,,,,,,
28,4,109,4,intercrop,3,41,,110,,,,,,
28,3,110,3,intercrop,1,46,53.66666667,135,98.33333333,6,9,7,5,1
28,3,110,3,intercrop,2,60,,105,,,,,,
28,3,110,3,intercrop,3,55,,55,,,,,,
28,2,111,2,intercrop,1,48,47.33333333,110,101.6666667,6,100,8,10,2
28,2,111,2,intercrop,2,48,,80,,,,,,
28,2,111,2,intercrop,3,46,,115,,,,,,
28,1,112,1,intercrop,1,40,44.66666667,140,133.3333333,6,9,7,0,0
28,1,112,1,intercrop,2,53,,130,,,,,,
28,1,112,1,intercrop,3,41,,130,,,,,,
29,1,113,1,intercrop,1,57,48.33333333,110,110,6,100,7,0,0
29,1,113,1,intercrop,2,45,,115,,,,,,
29,1,113,1,intercrop,3,43,,105,,,,,,
29,2,114,2,intercrop,1,33,37.66666667,80,86.66666667,6,100,8,0,0
29,2,114,2,intercrop,2,40,,65,,,,,,
29,2,114,2,intercrop,3,40,,115,,,,,,
29,3,115,3,monoculture,1,56,53.66666667,65,60,8,100,1,10,1
29,3,115,3,monoculture,2,47,,55,,,,,,
29,3,115,3,monoculture,3,58,,60,,,,,,
29,4,116,4,intercrop,1,45,41,115,116.6666667,6,100,2,0,0
29,4,116,4,intercrop,2,37,,110,,,,,,
29,4,116,4,intercrop,3,41,,125,,,,,,
30,4,117,4,intercrop,1,48,48.33333333,130,96.66666667,7,9,3,5,1
30,4,117,4,intercrop,2,47,,100,,,,,,
30,4,117,4,intercrop,3,50,,60,,,,,,
30,3,118,3,intercrop,1,47,51.66666667,120,121.6666667,6,100,7,0,0
30,3,118,3,intercrop,2,58,,130,,,,,,
30,3,118,3,intercrop,3,50,,115,,,,,,
30,2,119,2,intercrop,1,44,45.33333333,100,81.66666667,6,100,8,0,0
30,2,119,2,intercrop,2,47,,70,,,,,,
30,2,119,2,intercrop,3,45,,75,,,,,,
30,1,120,1,intercrop,1,62,59.66666667,120,106.6666667,7,100,2,10,2
30,1,120,1,intercrop,2,66,,80,,,,,,
30,1,120,1,intercrop,3,51,,120,,,,,,
31,1,121,1,intercrop,1,64,55.33333333,95,95,8,100,4,0,0
31,1,121,1,intercrop,2,47,,85,,,,,,
31,1,121,1,intercrop,3,55,,105,,,,,,
31,2,122,2,intercrop,1,51,49.66666667,85,91.66666667,6,100,1,0,0
31,2,122,2,intercrop,2,43,,75,,,,,,
31,2,122,2,intercrop,3,55,,115,,,,,,
31,3,123,3,intercrop,1,58,59,55,51.66666667,6,9,2,0,0
31,3,123,3,intercrop,2,64,,40,,,,,,
31,3,123,3,intercrop,3,55,,60,,,,,,
31,4,124,4,intercrop,1,62,51.33333333,95,113.3333333,6,100,1,0,0
31,4,124,4,intercrop,2,49,,130,,,,,,
31,4,124,4,intercrop,3,43,,115,,,,,,
32,4,125,4,intercrop,1,35,41,135,121.6666667,6,100,1,0,0
32,4,125,4,intercrop,2,43,,120,,,,,,
32,4,125,4,intercrop,3,45,,110,,,,,,
32,3,126,3,intercrop,1,48,53,80,96.66666667,6,100,3,0,0
32,3,126,3,intercrop,2,50,,90,,,,,,
32,3,126,3,intercrop,3,61,,120,,,,,,
32,2,127,2,intercrop,1,37,44,130,110,6,100,3,10,1
32,2,127,2,intercrop,2,45,,80,,,,,,
32,2,127,2,intercrop,3,50,,120,,,,,,
32,1,128,1,intercrop,1,49,48,110,103.3333333,8,100,3,0,0
32,1,128,1,intercrop,2,43,,100,,,,,,
32,1,128,1,intercrop,3,52,,100,,,,,,