LOC,YEAR,ENT,Entry,Block,Row,Serpentine,treatment,Alfalfa Stand Count,IWG Stand Count,Alfalfa Height 1,Alfalfa Height 2,Alfalfa Height 3,Alfalfa Height 4,Alfalfa_Height_avg,IWG Height 1,IWG Height 2,IWG Height 3,IWG Height 4,IWG_Height_avg,Alfalfa Stand Count (% of the max count),IWG Stand Count (% of the max count),,
NY_MG2,2024,7,IWAF-L-WI1,1,1,1,monoculture,23,14,5,5,4,3,4.25,5,5,4,5,4.75,135.2941176,82.35294118,135,80
NY_MG2,2024,11,AVC2,2,1,2,intercrop,28,42,5,5,6,5,5.25,10,11,9,9,9.75,103.7037037,65.625,104,70
NY_MG2,2024,13,AVC3,3,1,3,intercrop,32,37,4,3,4,3,3.5,9,9,9,9,9,118.5185185,57.8125,119,60
NY_MG2,2024,29,NY1713,4,1,4,intercrop,25,39,6,5,5,5,5.25,10,10,10,9,9.75,147.0588235,60.9375,147,60
NY_MG2,2024,19,INTALF20,4,2,5,intercrop,27,28,5,4,5,5,4.75,11,10,12,10,10.75,158.8235294,43.75,159,40
NY_MG2,2024,26,UMN #5560,3,2,6,intercrop,33,33,4,3,5,6,4.5,9,8,8,9,8.5,194.1176471,51.5625,194,50
NY_MG2,2024,5,IWAF-L-MN1,2,2,7,intercrop,25,38,4,4,3,4,3.75,10,11,10,11,10.5,147.0588235,59.375,147,60
NY_MG2,2024,18,AVC14,1,2,8,intercrop,33,28,6,5,4,6,5.25,10,10,10,11,10.25,194.1176471,43.75,194,40
NY_MG2,2024,6,IWAF-H-MN1,1,3,9,intercrop,20,51,6,3,3,4,4,5,9,10,8,8,117.6470588,79.6875,118,80
NY_MG2,2024,26,UMN #5560,2,3,10,monoculture,30,20,3,3,4,3,3.25,4,3,4,4,3.75,176.4705882,117.6470588,176,120
NY_MG2,2024,27,UMN #5561,3,3,11,intercrop,16,45,7,5,4,3,4.75,9,9,10,10,9.5,94.11764706,70.3125,94,70
NY_MG2,2024,21,IAFAL-C3,4,3,12,intercrop,20,37,3,3,2,3,2.75,7,8,7,9,7.75,117.6470588,57.8125,118,60
NY_MG2,2024,22,UMN #4352,4,4,13,intercrop,15,35,5,4,5,3,4.25,9,8,8,9,8.5,88.23529412,54.6875,88,50
NY_MG2,2024,7,IWAF-L-WI1,3,4,14,monoculture,32,27,2,3,3,5,3.25,4,3,3,4,3.5,188.2352941,158.8235294,188,160
NY_MG2,2024,29,NY1713,2,4,15,intercrop,29,34,4,6,3,5,4.5,9,9,7,10,8.75,170.5882353,53.125,171,50
NY_MG2,2024,9,AVC1,1,4,16,intercrop,35,37,5,6,5,5,5.25,7,10,10,9,9,129.6296296,57.8125,130,60
NY_MG2,2024,16,AVC11,1,5,17,intercrop,18,42,6,6,3,4,4.75,9,5,10,10,8.5,105.8823529,65.625,106,70
NY_MG2,2024,27,UMN #5561,2,5,18,intercrop,20,45,3,4,6,3,4,6,9,7,6,7,117.6470588,70.3125,118,70
NY_MG2,2024,8,IWAF-H-WI1,3,5,19,intercrop,20,37,4,3,3,5,3.75,7,10,9,7,8.25,117.6470588,57.8125,118,60
NY_MG2,2024,24,UMN #5553,4,5,20,intercrop,25,40,6,7,4,4,5.25,9,8,11,9,9.25,147.0588235,62.5,147,60
NY_MG2,2024,6,IWAF-H-MN1,4,6,21,intercrop,35,36,4,4,5,5,4.5,9,9,10,9,9.25,205.8823529,56.25,206,60
NY_MG2,2024,28,NY19-45,3,6,22,intercrop,33,46,2,3,3,4,3,7,7,8,12,8.5,194.1176471,71.875,194,70
NY_MG2,2024,9,AVC1,2,6,23,intercrop,38,37,5,3,5,5,4.5,10,10,10,10,10,140.7407407,57.8125,141,60
NY_MG2,2024,6,IWAF-H-MN1,1,6,24,monoculture,24,33,5,4,4,5,4.5,5,2,3,5,3.75,141.1764706,194.1176471,141,190
NY_MG2,2024,17,AVC5,1,7,25,intercrop,26,37,6,5,3,5,4.75,9,8,8,10,8.75,96.2962963,57.8125,96,60
NY_MG2,2024,27,UMN #5561,2,7,26,monoculture,23,20,4,4,3,3,3.5,3,3,2,4,3,135.2941176,117.6470588,135,120
NY_MG2,2024,10,AVC6,3,7,27,intercrop,15,45,4,3,3,3,3.25,9,6,10,9,8.5,88.23529412,70.3125,88,70
NY_MG2,2024,27,UMN #5561,4,7,28,intercrop,13,39,5,5,3,5,4.5,7,9,9,9,8.5,76.47058824,60.9375,76,60
NY_MG2,2024,8,IWAF-H-WI1,4,8,29,intercrop,15,28,5,5,5,5,5,10,9,10,8,9.25,88.23529412,43.75,88,40
NY_MG2,2024,21,IAFAL-C3,3,8,30,intercrop,19,38,3,3,1,1,2,7,8,9,9,8.25,111.7647059,59.375,112,60
NY_MG2,2024,5,IWAF-L-MN1,2,8,31,monoculture,23,21,4,3,3,4,3.5,3,4,3,2,3,135.2941176,123.5294118,135,120
NY_MG2,2024,26,UMN #5560,1,8,32,intercrop,27,35,4,3,1,5,3.25,9,10,9,9,9.25,158.8235294,54.6875,159,50
NY_MG2,2024,28,NY19-45,1,9,33,intercrop,24,43,5,5,4,5,4.75,9,10,10,9,9.5,141.1764706,67.1875,141,70
NY_MG2,2024,23,UMN #4353,2,9,34,intercrop,19,39,2,5,3,5,3.75,11,9,9,9,9.5,111.7647059,60.9375,112,60
NY_MG2,2024,2,IWAF-H-Base,3,9,35,intercrop,28,44,3,3,4,4,3.5,5,10,9,10,8.5,127.2727273,68.75,127,70
NY_MG2,2024,5,IWAF-L-MN1,4,9,36,monoculture,29,21,5,5,5,4,4.75,5,5,5,7,5.5,170.5882353,123.5294118,171,120
NY_MG2,2024,1,IWAF-L-Base,4,10,37,intercrop,18,28,5,3,3,6,4.25,11,7,7,9,8.5,90,43.75,90,40
NY_MG2,2024,5,IWAF-L-MN1,3,10,38,intercrop,17,31,5,4,3,3,3.75,8,9,10,8,8.75,100,48.4375,100,50
NY_MG2,2024,24,UMN #5553,2,10,39,intercrop,19,36,3,5,3,5,4,9,10,7,9,8.75,111.7647059,56.25,112,60
NY_MG2,2024,14,AVC9,1,10,40,intercrop,20,24,4,4,5,5,4.5,10,9,9,9,9.25,117.6470588,37.5,118,40
NY_MG2,2024,29,NY1713,1,11,41,intercrop,24,42,5,5,6,4,5,9,6,7,10,8,141.1764706,65.625,141,70
NY_MG2,2024,6,IWAF-H-MN1,2,11,42,intercrop,22,51,5,4,5,3,4.25,8,8,7,9,8,129.4117647,79.6875,129,80
NY_MG2,2024,25,UMN #5555,3,11,43,intercrop,23,42,5,4,4,5,4.5,7,9,9,10,8.75,135.2941176,65.625,135,70
NY_MG2,2024,9,AVC1,4,11,44,intercrop,32,43,7,6,7,7,6.75,7,9,9,8,8.25,118.5185185,67.1875,119,70
NY_MG2,2024,3,IWAF-L-KS1,4,12,45,intercrop,24,39,6,4,7,6,5.75,10,10,9,7,9,141.1764706,60.9375,141,60
NY_MG2,2024,23,UMN #4353,3,12,46,intercrop,11,38,5,3,5,2,3.75,9,7,9,10,8.75,64.70588235,59.375,65,60
NY_MG2,2024,25,UMN #5555,2,12,47,intercrop,20,48,4,5,6,3,4.5,10,9,7,9,8.75,117.6470588,75,118,80
NY_MG2,2024,3,IWAF-L-KS1,1,12,48,monoculture,22,23,4,5,5,7,5.25,3,3,3,6,3.75,129.4117647,135.2941176,129,140
NY_MG2,2024,24,UMN #5553,1,13,49,intercrop,34,51,6,5,5,3,4.75,9,8,10,9,9,200,79.6875,200,80
NY_MG2,2024,22,UMN #4352,2,13,50,intercrop,14,40,2,3,3,2,2.5,7,7,9,9,8,82.35294118,62.5,82,60
NY_MG2,2024,3,IWAF-L-KS1,3,13,51,monoculture,22,12,3,3,5,4,3.75,2,2,3,4,2.75,129.4117647,70.58823529,129,70
NY_MG2,2024,26,UMN #5560,4,13,52,intercrop,29,44,5,2,4,7,4.5,9,7,10,11,9.25,170.5882353,68.75,171,70
NY_MG2,2024,5,IWAF-L-MN1,4,14,53,intercrop,28,27,7,5,5,5,5.5,8,10,9,9,9,164.7058824,42.1875,165,40
NY_MG2,2024,19,INTALF20,3,14,54,intercrop,20,36,5,3,4,3,3.75,9,6,9,10,8.5,117.6470588,56.25,118,60
NY_MG2,2024,2,IWAF-H-Base,2,14,55,intercrop,24,24,5,4,2,4,3.75,8,10,9,9,9,109.0909091,37.5,109,40
NY_MG2,2024,1,IWAF-L-Base,1,14,56,intercrop,22,46,5,3,6,6,5,8,7,9,10,8.5,110,71.875,110,70
NY_MG2,2024,20,Larry15,1,15,57,monoculture,11,45,2,2,5,3,3,5,5,5,5,5,64.70588235,264.7058824,65,260
NY_MG2,2024,19,INTALF20,2,15,58,intercrop,26,59,4,5,4,5,4.5,8,9,9,8,8.5,152.9411765,92.1875,153,90
NY_MG2,2024,9,AVC1,3,15,59,intercrop,38,43,3,5,4,6,4.5,9,11,8,9,9.25,140.7407407,67.1875,141,70
NY_MG2,2024,27,UMN #5561,4,15,60,monoculture,21,45,5,5,5,3,4.5,6,5,4,4,4.75,123.5294118,264.7058824,124,260
NY_MG2,2024,8,IWAF-H-WI1,4,16,61,monoculture,35,38,3,4,4,6,4.25,5,4,5,3,4.25,205.8823529,223.5294118,206,220
NY_MG2,2024,3,IWAF-L-KS1,3,16,62,intercrop,24,51,3,3,4,5,3.75,9,8,7,10,8.5,141.1764706,79.6875,141,80
NY_MG2,2024,17,AVC5,2,16,63,intercrop,29,49,5,5,4,4,4.5,10,9,9,10,9.5,107.4074074,76.5625,107,80
NY_MG2,2024,8,IWAF-H-WI1,1,16,64,intercrop,19,57,3,5,4,5,4.25,11,10,9,10,10,111.7647059,89.0625,112,90
NY_MG2,2024,25,UMN #5555,1,17,65,intercrop,19,55,5,7,5,3,5,9,7,8,9,8.25,111.7647059,85.9375,112,90
NY_MG2,2024,8,IWAF-H-WI1,2,17,66,intercrop,17,60,3,4,3,4,3.5,6,7,10,10,8.25,100,93.75,100,90
NY_MG2,2024,18,AVC14,3,17,67,intercrop,26,39,4,4,4,3,3.75,8,9,8,9,8.5,152.9411765,60.9375,153,60
NY_MG2,2024,20,Larry15,4,17,68,intercrop,15,39,4,3,3,3,3.25,9,8,7,7,7.75,88.23529412,60.9375,88,60
NY_MG2,2024,14,AVC9,4,18,69,intercrop,25,32,5,4,5,5,4.75,9,9,7,9,8.5,147.0588235,50,147,50
NY_MG2,2024,12,AVC7,3,18,70,intercrop,24,45,5,3,3,3,3.5,11,6,9,10,9,141.1764706,70.3125,141,70
NY_MG2,2024,14,AVC9,2,18,71,intercrop,26,39,5,4,4,4,4.25,5,9,8,9,7.75,152.9411765,60.9375,153,60
NY_MG2,2024,27,UMN #5561,1,18,72,intercrop,17,38,4,4,3,5,4,9,10,9,9,9.25,100,59.375,100,60
NY_MG2,2024,22,UMN #4352,1,19,73,intercrop,14,48,5,3,3,4,3.75,7,9,9,9,8.5,82.35294118,75,82,80
NY_MG2,2024,26,UMN #5560,2,19,74,intercrop,25,43,5,4,4,5,4.5,9,6,9,9,8.25,147.0588235,67.1875,147,70
NY_MG2,2024,7,IWAF-L-WI1,3,19,75,intercrop,17,52,3,2,3,4,3,6,5,9,6,6.5,100,81.25,100,80
NY_MG2,2024,2,IWAF-H-Base,4,19,76,intercrop,25,33,5,4,2,6,4.25,9,8,10,7,8.5,113.6363636,51.5625,114,50
NY_MG2,2024,15,AVC4,4,20,77,intercrop,28,24,5,5,5,6,5.25,10,7,10,9,9,103.7037037,37.5,104,40
NY_MG2,2024,20,Larry15,3,20,78,monoculture,14,38,3,2,2,2,2.25,3,3,4,3,3.25,82.35294118,223.5294118,82,220
NY_MG2,2024,8,IWAF-H-WI1,2,20,79,monoculture,19,31,3,2,4,4,3.25,4,4,4,3,3.75,111.7647059,182.3529412,112,180
NY_MG2,2024,23,UMN #4353,1,20,80,intercrop,15,50,5,5,2,4,4,10,10,10,9,9.75,88.23529412,78.125,88,80
NY_MG2,2024,7,IWAF-L-WI1,1,21,81,intercrop,17,46,7,3,4,6,5,10,9,10,9,9.5,100,71.875,100,70
NY_MG2,2024,10,AVC6,2,21,82,intercrop,15,41,3,7,3,4,4.25,9,8,8,10,8.75,88.23529412,64.0625,88,60
NY_MG2,2024,16,AVC11,3,21,83,intercrop,24,51,5,4,3,4,4,7,9,6,10,8,141.1764706,79.6875,141,80
NY_MG2,2024,13,AVC3,4,21,84,intercrop,22,33,5,4,2,4,3.75,7,9,8,9,8.25,81.48148148,51.5625,81,50
NY_MG2,2024,7,IWAF-L-WI1,4,22,85,intercrop,18,26,4,2,3,4,3.25,7,10,9,10,9,105.8823529,40.625,106,40
NY_MG2,2024,20,Larry15,3,22,86,intercrop,17,32,3,2,3,2,2.5,9,7,9,10,8.75,100,50,100,50
NY_MG2,2024,13,AVC3,2,22,87,intercrop,25,48,5,5,6,4,5,8,10,10,10,9.5,92.59259259,75,93,80
NY_MG2,2024,15,AVC4,1,22,88,intercrop,20,40,5,3,5,6,4.75,10,10,10,9,9.75,74.07407407,62.5,74,60
NY_MG2,2024,2,IWAF-H-Base,1,23,89,intercrop,26,45,4,7,4,4,4.75,9,10,10,9,9.5,118.1818182,70.3125,118,70
NY_MG2,2024,3,IWAF-L-KS1,2,23,90,intercrop,23,31,5,5,5,5,5,8,10,9,9,9,135.2941176,48.4375,135,50
NY_MG2,2024,15,AVC4,3,23,91,intercrop,22,39,4,4,5,4,4.25,10,10,9,9,9.5,81.48148148,60.9375,81,60
NY_MG2,2024,10,AVC6,4,23,92,intercrop,14,44,4,5,3,3,3.75,7,8,9,9,8.25,82.35294118,68.75,82,70
NY_MG2,2024,18,AVC14,4,24,93,intercrop,23,28,4,3,3,5,3.75,9,9,7,8,8.25,135.2941176,43.75,135,40
NY_MG2,2024,17,AVC5,3,24,94,intercrop,28,28,4,4,2,4,3.5,11,10,8,9,9.5,103.7037037,43.75,104,40
NY_MG2,2024,28,NY19-45,2,24,95,intercrop,27,24,5,5,4,3,4.25,9,10,8,7,8.5,158.8235294,37.5,159,40
NY_MG2,2024,21,IAFAL-C3,1,24,96,intercrop,13,39,4,2,3,3,3,8,10,9,10,9.25,76.47058824,60.9375,76,60
NY_MG2,2024,19,INTALF20,1,25,97,intercrop,12,45,6,7,3,5,5.25,10,9,10,9,9.5,70.58823529,70.3125,71,70
NY_MG2,2024,18,AVC14,2,25,98,intercrop,21,35,5,6,5,6,5.5,6,9,10,9,8.5,123.5294118,54.6875,124,50
NY_MG2,2024,6,IWAF-H-MN1,3,25,99,intercrop,34,45,5,3,3,5,4,9,8,9,7,8.25,200,70.3125,200,70
NY_MG2,2024,17,AVC5,4,25,100,intercrop,25,37,4,4,3,4,3.75,9,9,9,8,8.75,92.59259259,57.8125,93,60
NY_MG2,2024,26,UMN #5560,4,26,101,monoculture,28,33,4,5,5,5,4.75,5,3,3,4,3.75,164.7058824,194.1176471,165,190
NY_MG2,2024,22,UMN #4352,3,26,102,intercrop,12,41,2,3,3,3,2.75,8,10,9,10,9.25,70.58823529,64.0625,71,60
NY_MG2,2024,15,AVC4,2,26,103,intercrop,18,29,5,6,5,3,4.75,9,10,9,10,9.5,66.66666667,45.3125,67,50
NY_MG2,2024,3,IWAF-L-KS1,1,26,104,intercrop,19,41,5,3,6,6,5,9,11,10,10,10,111.7647059,64.0625,112,60
NY_MG2,2024,13,AVC3,1,27,105,intercrop,19,40,7,5,3,4,4.75,10,9,12,11,10.5,70.37037037,62.5,70,60
NY_MG2,2024,1,IWAF-L-Base,2,27,106,intercrop,24,48,6,4,3,5,4.5,10,7,9,8,8.5,120,75,120,80
NY_MG2,2024,11,AVC2,3,27,107,intercrop,28,47,5,6,4,6,5.25,8,7,9,9,8.25,103.7037037,73.4375,104,70
NY_MG2,2024,16,AVC11,4,27,108,intercrop,20,43,2,5,6,4,4.25,7,9,9,8,8.25,117.6470588,67.1875,118,70
NY_MG2,2024,28,NY19-45,4,28,109,intercrop,22,37,4,5,3,4,4,9,8,8,8,8.25,129.4117647,57.8125,129,60
NY_MG2,2024,24,UMN #5553,3,28,110,intercrop,21,29,5,6,3,4,4.5,9,10,9,9,9.25,123.5294118,45.3125,124,50
NY_MG2,2024,16,AVC11,2,28,111,intercrop,15,37,7,4,4,5,5,9,10,9,9,9.25,88.23529412,57.8125,88,60
NY_MG2,2024,20,Larry15,1,28,112,intercrop,13,41,3,3,5,4,3.75,9,11,10,10,10,76.47058824,64.0625,76,60
NY_MG2,2024,11,AVC2,1,29,113,intercrop,43,48,6,7,6,5,6,9,10,9,9,9.25,159.2592593,75,159,80
NY_MG2,2024,20,Larry15,2,29,114,intercrop,14,43,3,2,3,3,2.75,7,7,10,10,8.5,82.35294118,67.1875,82,70
NY_MG2,2024,6,IWAF-H-MN1,3,29,115,monoculture,24,39,4,3,5,4,4,3,4,5,5,4.25,141.1764706,229.4117647,141,230
NY_MG2,2024,12,AVC7,4,29,116,intercrop,15,47,3,4,4,4,3.75,9,9,10,8,9,88.23529412,73.4375,88,70
NY_MG2,2024,11,AVC2,4,30,117,intercrop,26,42,5,4,4,5,4.5,8,11,9,9,9.25,96.2962963,65.625,96,70
NY_MG2,2024,29,NY1713,3,30,118,intercrop,24,28,4,3,5,4,4,8,11,8,10,9.25,141.1764706,43.75,141,40
NY_MG2,2024,21,IAFAL-C3,2,30,119,intercrop,20,31,5,2,2,3,3,8,8,9,9,8.5,117.6470588,48.4375,118,50
NY_MG2,2024,12,AVC7,1,30,120,intercrop,19,34,5,5,6,5,5.25,10,10,11,9,10,111.7647059,53.125,112,50
NY_MG2,2024,5,IWAF-L-MN1,1,31,121,intercrop,20,54,7,4,6,5,5.5,7,7,9,10,8.25,117.6470588,84.375,118,80
NY_MG2,2024,7,IWAF-L-WI1,2,31,122,intercrop,25,40,3,4,3,5,3.75,10,7,10,8,8.75,147.0588235,62.5,147,60
NY_MG2,2024,14,AVC9,3,31,123,intercrop,29,25,4,4,5,4,4.25,9,9,7,9,8.5,170.5882353,39.0625,171,40
NY_MG2,2024,23,UMN #4353,4,31,124,intercrop,22,48,5,4,5,3,4.25,8,9,10,9,9,129.4117647,75,129,80
NY_MG2,2024,25,UMN #5555,4,32,125,intercrop,19,28,4,4,4,5,4.25,6,7,9,9,7.75,111.7647059,43.75,112,40
NY_MG2,2024,1,IWAF-L-Base,3,32,126,intercrop,22,28,4,3,4,5,4,10,10,8,9,9.25,110,43.75,110,40
NY_MG2,2024,12,AVC7,2,32,127,intercrop,23,32,5,5,4,2,4,9,9,9,10,9.25,135.2941176,50,135,50
NY_MG2,2024,10,AVC6,1,32,128,intercrop,16,29,5,4,7,5,5.25,10,9,9,9,9.25,94.11764706,45.3125,94,50
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,43,60,,,,,,,,,,,,,,
,,,,,,,,22.6328125,38.03125,,,,,,,,,,,,,,
,,,,,,,,20,39,,,,,,,,,,,,,,
,,,,,,,,26,45,,,,,,,,,,,,,,