,LOC,Entry,Rep,Row,Col,Row2,Col2,serpentine,selected,selection_location,selected_type,selected_category,First_Summer_ALF_Height,First_Summer_IWG_Height_log,First_Summer_Maturity,First_Yr_Regrowth_Vigor,First_Summer_ALF_Biomass_sqrt,First_Summer_IWG_Biomass_log,First_Summer_Lodging,First_Yr_Regrowth_Vigor2
1,KS,UMN5555,9,1,2,22.5,27.5,1,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,KS,IWAF-L-WI1,9,2,10,20.5,187.5,10,selected,WI,WI_IWG,WI_IWG,-3.450089848,NA,8,NA,350.8634425,NA,0,NA
3,KS,UMN5560,12,12,10,0.5,187.5,100,selected,MN,MN_Maize,MN_Maize,-1.15383869,NA,8,NA,NA,NA,0,NA
4,KS,UMN5555,12,12,9,0.5,167.5,101,other,NA,NA,NA,0,NA,8,NA,NA,NA,0,NA
5,KS,AVC4,12,12,8,0.5,147.5,102,base,NA,NA,base_WI,-12.64740494,NA,8,NA,NA,NA,0,NA
6,KS,AVC6,12,12,7,0.5,127.5,103,selected,WI,WI_Maize,WI_Maize,6.260983546,NA,9,NA,426.0567337,NA,0,NA
7,KS,AVC11,12,12,6,0.5,107.5,104,selected,WI,WI_Maize,WI_Maize,-0.147404935,NA,8,NA,385.0694914,NA,1,NA
8,KS,IWAF-L-KS1,12,12,5,0.5,87.5,105,selected,KS,KS_IWG,KS_IWG,2.707468563,4.787491743,8,NA,428.2945726,11.82555055,1,NA
9,KS,AVC1,12,12,4,0.5,67.5,106,base,NA,NA,base_WI,6.917082383,NA,8,NA,398.4896065,NA,1,NA
10,KS,INTALF20,12,12,3,0.5,47.5,107,selected,WI,WI_Maize,WI_Maize,-1.684266221,NA,8,NA,338.6946058,NA,0,NA
11,KS,IWAF-H-KS2,12,12,2,0.5,27.5,108,selected,KS,KS_IWG,KS_IWG,NA,NA,NA,NA,NA,NA,NA,NA
12,KS,AVC6,9,2,9,20.5,167.5,11,selected,WI,WI_Maize,WI_Maize,-9.800838879,NA,8,NA,260.319524,NA,2,NA
13,KS,AVC14,9,2,8,20.5,147.5,12,selected,WI,WI_Maize,WI_Maize,5.09864906,NA,9,NA,407.8423129,NA,1,NA
14,KS,AVC9,9,2,7,20.5,127.5,13,selected,WI,WI_Maize,WI_Maize,9.39795383,NA,8,NA,203.0075851,NA,0,NA
15,KS,UMN4353,9,2,6,20.5,107.5,14,other,NA,NA,NA,-2.13E-14,NA,6,NA,285.053987,NA,2,NA
16,KS,UMN5561,9,2,5,20.5,87.5,15,selected,MN,MN_Maize,MN_Maize,4.517965487,NA,9,NA,321.3139157,NA,0,NA
17,KS,IWAF-L-Base,9,2,4,20.5,67.5,16,base,NA,NA,base_L,12.24548723,NA,8,NA,295.1231845,NA,0,NA
18,KS,INTALF20,9,2,3,20.5,47.5,17,selected,WI,WI_Maize,WI_Maize,-1.230190083,NA,8,NA,291.3196583,NA,0,NA
19,KS,Larry15,9,2,2,20.5,27.5,18,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,KS,IWAF-L-KS1,9,3,2,18.5,27.5,19,selected,KS,KS_IWG,KS_IWG,NA,NA,NA,NA,NA,NA,NA,NA
21,KS,AVC1,9,1,3,22.5,47.5,2,base,NA,NA,base_WI,-6.037558857,NA,6,NA,214.7045593,NA,0,NA
22,KS,IWAF-L-MN1,9,3,3,18.5,47.5,20,selected,MN,MN_IWG,MN_IWG,0.762835749,NA,7,NA,289.3073791,NA,1,NA
23,KS,IWAF-H-WI1,9,3,4,18.5,67.5,21,selected,WI,WI_IWG,WI_IWG,-1.012462057,NA,7,NA,311.0681818,NA,1,NA
24,KS,AVC5,9,3,5,18.5,87.5,22,base,NA,NA,base_WI,-4.636790758,4.892852258,6,NA,309.8707744,12.27286277,1,NA
25,KS,UMN5560,9,3,6,18.5,107.5,23,selected,MN,MN_Maize,MN_Maize,0.966904128,NA,6,NA,334.9101898,NA,0,NA
26,KS,UMN4352,9,3,7,18.5,127.5,24,other,NA,NA,NA,7.105427357601e-15,NA,7,NA,309.5278072,NA,2,NA
27,KS,AVC4,9,3,8,18.5,147.5,25,base,NA,NA,base_WI,2.806671203,NA,7,NA,401.1462333,NA,0,NA
28,KS,IAFAL-C3,9,3,9,18.5,167.5,26,other,NA,NA,NA,3.072569779,NA,8,NA,264.7697528,NA,0,NA
29,KS,IWAF-H-KS2,9,3,10,18.5,187.5,27,selected,KS,KS_IWG,KS_IWG,-0.405656523,NA,8,NA,320.4864255,NA,0,NA
30,KS,IAFAL-C3,10,4,10,16.5,187.5,28,other,NA,NA,NA,-8.285199817,NA,8,NA,326.3975338,NA,2,NA
31,KS,AVC2,10,4,9,16.5,167.5,29,base,NA,NA,base_WI,-2.69891904,NA,8,NA,402.3359924,NA,4,NA
32,KS,AVC11,9,1,4,22.5,67.5,3,selected,WI,WI_Maize,WI_Maize,-7.951278079,NA,7,NA,185.2241726,NA,2,NA
33,KS,IWAF-H-KS2,10,4,8,16.5,147.5,30,selected,KS,KS_IWG,KS_IWG,NA,NA,NA,NA,NA,NA,NA,NA
34,KS,AVC9,10,4,7,16.5,127.5,31,selected,WI,WI_Maize,WI_Maize,-3.626482436,NA,6,NA,288.5721622,NA,2,NA
35,KS,IWAF-L-MN1,10,4,6,16.5,107.5,32,selected,MN,MN_IWG,MN_IWG,2.738399494,NA,6,NA,306.250463,NA,3,NA
36,KS,Larry15,10,4,5,16.5,87.5,33,other,NA,NA,NA,-2.080821364,NA,6,NA,395.0092813,NA,3,NA
37,KS,UMN5560,10,4,4,16.5,67.5,34,selected,MN,MN_Maize,MN_Maize,NA,NA,NA,NA,NA,NA,NA,NA
38,KS,AVC3,10,4,3,16.5,47.5,35,base,NA,NA,base_WI,7.764118126,NA,7,NA,310.0421157,NA,0,NA
39,KS,IWAF-H-WI1,10,4,2,16.5,27.5,36,selected,WI,WI_IWG,WI_IWG,-5.929717127,4.854631045,7,NA,337.2804259,12.18354553,0,NA
40,KS,UMN5555,10,5,2,14.5,27.5,37,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,KS,UMN4352,10,5,3,14.5,47.5,38,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,KS,UMN5561,10,5,4,14.5,67.5,39,selected,MN,MN_Maize,MN_Maize,6.418145174,NA,8,NA,253.2881497,NA,1,NA
43,KS,AVC7,9,1,5,22.5,87.5,4,selected,WI,WI_Maize,WI_Maize,3.583466507,5.010635294,6,NA,216.4291217,12.92907178,0,NA
44,KS,INTALF20,10,5,5,14.5,87.5,40,selected,WI,WI_Maize,WI_Maize,NA,NA,NA,NA,NA,NA,NA,NA
45,KS,AVC7,10,5,6,14.5,107.5,41,selected,WI,WI_Maize,WI_Maize,-6.107636419,NA,6,NA,247.7766183,NA,2,NA
46,KS,UMN5553,10,5,7,14.5,127.5,42,other,NA,NA,NA,6.898316682,NA,8,NA,NA,NA,0,NA
47,KS,IWAF-L-Base,10,5,8,14.5,147.5,43,base,NA,NA,base_L,0.812333588,NA,8,NA,308.8407302,NA,1,NA
48,KS,IWAF-H-Base,10,5,9,14.5,167.5,44,base,NA,NA,base_H,-2.774303084,NA,7,NA,266.1701315,NA,2,NA
49,KS,IWAF-H-MN1,10,5,10,14.5,187.5,45,selected,MN,MN_IWG,MN_IWG,-4.024303089,4.787491743,8,NA,260.319524,12.47014064,2,NA
50,KS,AVC5,10,6,10,12.5,187.5,46,base,NA,NA,base_WI,2.112620841,NA,9,NA,336.8077131,NA,0,NA
51,KS,AVC6,10,6,9,12.5,167.5,47,selected,WI,WI_Maize,WI_Maize,3.539855332,NA,8,NA,298.8783109,NA,0,NA
52,KS,AVC14,10,6,8,12.5,147.5,48,selected,WI,WI_Maize,WI_Maize,-3.076555302,NA,8,NA,369.155829,NA,1,NA
53,KS,AVC11,10,6,7,12.5,127.5,49,selected,WI,WI_Maize,WI_Maize,7.131466851,NA,7,NA,297.2747793,NA,1,NA
54,KS,IWAF-H-MN1,9,1,6,22.5,107.5,5,selected,MN,MN_IWG,MN_IWG,0.666799837,NA,8,NA,188.6334925,NA,0,NA
55,KS,UMN4353,10,6,6,12.5,107.5,50,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,KS,AVC1,10,6,5,12.5,87.5,51,base,NA,NA,base_WI,2.604671557,NA,6,NA,370.304955,NA,2,NA
57,KS,IWAF-L-KS1,10,6,4,12.5,67.5,52,selected,KS,KS_IWG,KS_IWG,-6.529558224,4.86753445,6,NA,383.1337618,12.41437268,3,NA
58,KS,AVC4,10,6,3,12.5,47.5,53,base,NA,NA,base_WI,1.298133521,NA,7,NA,311.2388639,NA,0,NA
59,KS,IWAF-L-WI1,10,6,2,12.5,27.5,54,selected,WI,WI_IWG,WI_IWG,3.450089848,NA,7,NA,324.7663516,NA,1,NA
60,KS,Larry15,11,7,2,10.5,27.5,55,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,KS,IWAF-H-Base,11,7,3,10.5,47.5,56,base,NA,NA,base_H,2.65272884,NA,6,NA,291.1372985,NA,0,NA
62,KS,AVC7,11,7,4,10.5,67.5,57,selected,WI,WI_Maize,WI_Maize,5.986062175,NA,8,NA,NA,NA,0,NA
63,KS,IWAF-L-KS1,11,7,5,10.5,87.5,58,selected,KS,KS_IWG,KS_IWG,3.822089661,4.86753445,8,NA,414.0455939,12.08904979,0,NA
64,KS,IWAF-L-MN1,11,7,6,10.5,107.5,59,selected,MN,MN_IWG,MN_IWG,-3.501235243,NA,7,NA,396.2174688,NA,1,NA
65,KS,IWAF-H-Base,9,1,7,22.5,127.5,6,base,NA,NA,base_H,-6.416533498,NA,8,NA,226.5009185,NA,0,NA
66,KS,IWAF-H-WI1,11,7,7,10.5,127.5,60,selected,WI,WI_IWG,WI_IWG,NA,NA,NA,NA,NA,NA,NA,NA
67,KS,UMN5553,11,7,8,10.5,147.5,61,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,KS,AVC6,11,7,9,10.5,167.5,62,selected,WI,WI_Maize,WI_Maize,NA,NA,NA,NA,NA,NA,NA,NA
69,KS,UMN5561,11,7,10,10.5,187.5,63,selected,MN,MN_Maize,MN_Maize,NA,NA,NA,NA,NA,NA,NA,NA
70,KS,AVC1,11,8,10,8.5,187.5,64,base,NA,NA,base_WI,-3.484195082,NA,8,NA,249.2724804,NA,2,NA
71,KS,AVC2,11,8,9,8.5,167.5,65,base,NA,NA,base_WI,2.652728845,NA,7,NA,285.4263634,NA,1,NA
72,KS,AVC11,11,8,8,8.5,147.5,66,selected,WI,WI_Maize,WI_Maize,0.967216163,NA,8,NA,302.2356068,NA,0,NA
73,KS,AVC3,11,8,7,8.5,127.5,67,base,NA,NA,base_WI,-3.324748514,NA,7,NA,133.582954,NA,0,NA
74,KS,UMN4352,11,8,6,8.5,107.5,68,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,KS,IWAF-L-Base,11,8,5,8.5,87.5,69,base,NA,NA,base_L,NA,NA,NA,NA,NA,NA,NA,NA
76,KS,AVC3,9,1,8,22.5,147.5,7,base,NA,NA,base_WI,NA,NA,NA,NA,NA,NA,NA,NA
77,KS,IWAF-H-KS2,11,8,4,8.5,67.5,70,selected,KS,KS_IWG,KS_IWG,0.405656523,NA,7,NA,237.041419,NA,1,NA
78,KS,IWAF-H-MN1,11,8,3,8.5,47.5,71,selected,MN,MN_IWG,MN_IWG,-3.597271155,NA,7,NA,293.4991375,NA,0,NA
79,KS,AVC9,11,8,2,8.5,27.5,72,selected,WI,WI_Maize,WI_Maize,-9.715349075,NA,8,NA,NA,NA,2,NA
80,KS,IWAF-L-WI1,11,9,2,6.5,27.5,73,selected,WI,WI_IWG,WI_IWG,NA,NA,NA,NA,NA,NA,NA,NA
81,KS,INTALF20,11,9,3,6.5,47.5,74,selected,WI,WI_Maize,WI_Maize,2.914456304,4.814890717,7,NA,324.11158,12.26187365,1,NA
82,KS,UMN4353,11,9,4,6.5,67.5,75,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,KS,UMN5555,11,9,5,6.5,87.5,76,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,KS,AVC14,11,9,6,6.5,107.5,77,selected,WI,WI_Maize,WI_Maize,NA,NA,NA,NA,NA,NA,NA,NA
85,KS,AVC5,11,9,7,6.5,127.5,78,base,NA,NA,base_WI,1.023754202,NA,8,NA,329.7967568,NA,0,NA
86,KS,AVC4,11,9,8,6.5,147.5,79,base,NA,NA,base_WI,8.542600211,NA,8,NA,306.0769991,NA,0,NA
87,KS,AVC2,9,1,9,22.5,167.5,8,base,NA,NA,base_WI,-1.491917542,4.892852258,8,NA,175.5073873,12.94644575,0,NA
88,KS,UMN5560,11,9,9,6.5,167.5,80,selected,MN,MN_Maize,MN_Maize,0.186934563,4.773505501,8,NA,378.5318062,12.55419087,2,NA
89,KS,IAFAL-C3,11,9,10,6.5,187.5,81,other,NA,NA,NA,2.367984262,NA,7,NA,307.28919,NA,3,NA
90,KS,AVC5,12,10,10,4.5,187.5,82,base,NA,NA,base_WI,1.500415715,NA,8,NA,299.7654553,NA,0,NA
91,KS,AVC14,12,10,9,4.5,167.5,83,selected,WI,WI_Maize,WI_Maize,-2.022093758,NA,8,NA,321.4791581,NA,1,NA
92,KS,IWAF-L-Base,12,10,8,4.5,147.5,84,base,NA,NA,base_L,-13.05782082,NA,8,NA,314.9704713,NA,2,NA
93,KS,AVC9,12,10,7,4.5,127.5,85,selected,WI,WI_Maize,WI_Maize,3.943877681,NA,8,NA,347.3646084,NA,0,NA
94,KS,IWAF-H-WI1,12,10,6,4.5,107.5,86,selected,WI,WI_IWG,WI_IWG,6.942179184,NA,6,NA,NA,NA,2,NA
95,KS,IAFAL-C3,12,10,5,4.5,87.5,87,other,NA,NA,NA,2.844645776,NA,7,NA,330.6009442,NA,3,NA
96,KS,AVC7,12,10,4,4.5,67.5,88,selected,WI,WI_Maize,WI_Maize,-3.461892263,4.854631045,8,NA,363.6478949,12.25025442,1,NA
97,KS,IWAF-L-MN1,12,10,3,4.5,47.5,89,selected,MN,MN_IWG,MN_IWG,NA,NA,NA,NA,NA,NA,NA,NA
98,KS,UMN5553,9,1,10,22.5,187.5,9,other,NA,NA,NA,0.148905092,NA,8,NA,220.5612128,NA,1,NA
99,KS,UMN4352,12,10,2,4.5,27.5,90,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,KS,IWAF-H-Base,12,11,2,2.5,27.5,91,base,NA,NA,base_H,6.538107742,NA,8,NA,339.4777158,NA,1,NA
101,KS,IWAF-H-MN1,12,11,3,2.5,47.5,92,selected,MN,MN_IWG,MN_IWG,6.954774407,4.828313737,8,NA,344.6016114,12.41910489,1,NA
102,KS,Larry15,12,11,4,2.5,67.5,93,other,NA,NA,NA,2.080821364,NA,7,NA,NA,NA,0,NA
103,KS,UMN4353,12,11,5,2.5,87.5,94,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,KS,UMN5553,12,11,6,2.5,107.5,95,other,NA,NA,NA,-7.047221774,NA,8,NA,NA,NA,0,NA
105,KS,IWAF-L-WI1,12,11,7,2.5,127.5,96,selected,WI,WI_IWG,WI_IWG,NA,NA,NA,NA,NA,NA,NA,NA
106,KS,AVC2,12,11,8,2.5,147.5,97,base,NA,NA,base_WI,1.538107737,NA,8,NA,354.0278322,NA,2,NA
107,KS,UMN5561,12,11,9,2.5,167.5,98,selected,MN,MN_Maize,MN_Maize,-10.93611066,NA,8,NA,NA,NA,0,NA
108,KS,AVC3,12,11,10,2.5,187.5,99,base,NA,NA,base_WI,-4.439369612,NA,8,NA,204.3114365,NA,1,NA
109,NY,AVC5,8,25,4,85.75,82.5,100,base,NA,NA,base_WI,0.465455349,4.801285068,6,2,124.529668,11.86814254,4,2
110,NY,UMN4352,7,26,3,89.25,57.5,102,other,NA,NA,NA,10.66413658,4.382026635,6,3,333.957385,NA,8,3
111,NY,AVC4,6,26,2,89.25,32.5,103,base,NA,NA,base_WI,3.619021548,4.317488114,6,4,358.7960986,NA,8,4
112,NY,IWAF-L-KS1,5,26,1,89.25,7.5,104,selected,KS,KS_IWG,KS_IWG,11.70369076,4.715518246,6,5,509.2947883,NA,7,5
113,NY,AVC3,5,27,1,92.75,7.5,105,base,NA,NA,base_WI,9.730486077,4.27202574,7,5,363.9398644,NA,7,5
114,NY,IWAF-L-Base,6,27,2,92.75,32.5,106,base,NA,NA,base_L,-6.222261053,4.295015257,6,3,307.1163128,NA,7,3
115,NY,AVC2,7,27,3,92.75,57.5,107,base,NA,NA,base_WI,0.164136605,3.976561526,6,4,354.6273718,NA,8,4
116,NY,AVC11,8,27,4,92.75,82.5,108,selected,WI,WI_Maize,WI_Maize,-0.814287348,4.773505498,6,1,119.3022959,NA,1,1
117,NY,NY19-45,8,28,4,96.25,82.5,109,other,NA,NA,NA,1.91686664,4.715518246,8,2,272.4802255,12.14308559,3,2
118,NY,UMN5561,7,3,3,8.75,57.5,11,selected,MN,MN_Maize,MN_Maize,-1.819964842,4.360973225,6,3,223.906861,NA,5,3
119,NY,UMN5553,7,28,3,96.25,57.5,110,other,NA,NA,NA,2.868495329,4.588363067,6,3,317.6568353,NA,7,3
120,NY,AVC11,6,28,2,96.25,32.5,111,selected,WI,WI_Maize,WI_Maize,-1.499056417,4.621699491,6,3,243.6701362,NA,8,3
121,NY,Larry15,5,28,1,96.25,7.5,112,other,NA,NA,NA,-4.084001236,4.892852256,6,3,466.7445251,NA,7,3
122,NY,AVC2,5,29,1,99.75,7.5,113,base,NA,NA,base_WI,-2.898488599,4.700480366,6,5,381.0488537,NA,7,5
123,NY,Larry15,6,29,2,99.75,32.5,114,other,NA,NA,NA,-9.585337126,4.462069343,6,2,373.3045813,NA,8,2
124,NY,AVC7,8,29,4,99.75,82.5,116,selected,WI,WI_Maize,WI_Maize,-6.246852602,4.759320869,6,2,93.89348273,NA,2,2
125,NY,AVC2,8,30,4,103.25,82.5,117,base,NA,NA,base_WI,2.102379277,4.571268635,7,2,190.3152508,NA,3,2
126,NY,NY1713,7,30,3,103.25,57.5,118,other,NA,NA,NA,2.989520678,4.801285068,6,4,330.1186668,NA,7,4
127,NY,IAFAL-C3,6,30,2,103.25,32.5,119,other,NA,NA,NA,0.895816837,4.402645922,6,1,340.1029055,NA,8,1
128,NY,IAFAL-C3,8,3,4,8.75,82.5,12,other,NA,NA,NA,0.624172748,4.841558967,6,1,195.5454218,NA,6,1
129,NY,AVC7,5,30,1,103.25,7.5,120,selected,WI,WI_Maize,WI_Maize,7.117410029,4.66970871,7,5,386.3087671,NA,2,5
130,NY,IWAF-L-MN1,5,31,1,106.75,7.5,121,selected,MN,MN_IWG,MN_IWG,-0.890539323,4.553876892,8,5,421.0411765,NA,4,5
131,NY,IWAF-L-WI1,6,31,2,106.75,32.5,122,selected,WI,WI_IWG,WI_IWG,0.591333235,4.518158809,6,3,274.8091587,12.02239959,1,3
132,NY,AVC9,7,31,3,106.75,57.5,123,selected,WI,WI_Maize,WI_Maize,3.085805098,3.944812829,6,3,335.7021279,11.51666627,2,3
133,NY,UMN4353,8,31,4,106.75,82.5,124,other,NA,NA,NA,0.556737951,4.730333326,6,2,222.9560845,NA,1,2
134,NY,UMN5555,8,32,4,110.25,82.5,125,other,NA,NA,NA,-3.435312722,4.801285068,6,2,215.937795,NA,1,2
135,NY,IWAF-L-Base,7,32,3,110.25,57.5,126,base,NA,NA,base_L,5.373497147,4.571268635,6,3,308.3244176,NA,3,3
136,NY,AVC7,6,32,2,110.25,32.5,127,selected,WI,WI_Maize,WI_Maize,-7.050592561,4.700480366,6,4,319.3243367,NA,3,4
137,NY,AVC6,5,32,1,110.25,7.5,128,selected,WI,WI_Maize,WI_Maize,0.784076654,4.637960006,8,3,387.4070174,NA,3,3
138,NY,UMN4352,8,4,4,12.25,82.5,13,other,NA,NA,NA,-6.064287348,4.814890714,6,2,144.2860811,NA,3,2
139,NY,NY1713,6,4,2,12.25,32.5,15,other,NA,NA,NA,4.973255294,4.917544873,8,3,133.1847923,NA,1,3
140,NY,AVC1,5,4,1,12.25,7.5,16,base,NA,NA,base_WI,-3.662332718,4.685212891,6,4,287.6504985,NA,1,4
141,NY,AVC11,5,5,1,15.75,7.5,17,selected,WI,WI_Maize,WI_Maize,1.883308582,4.828313737,6,4,244.7574693,NA,1,4
142,NY,UMN5561,6,5,2,15.75,32.5,18,selected,MN,MN_Maize,MN_Maize,-4.943411381,4.339467021,6,2,226.2663241,NA,2,2
143,NY,IWAF-H-WI1,7,5,3,15.75,57.5,19,selected,WI,WI_IWG,WI_IWG,-3.827914118,4.462069343,6,2,107.5993508,NA,7,2
144,NY,AVC2,6,1,2,1.75,32.5,2,base,NA,NA,base_WI,0.631972718,4.730333326,6,3,225.5610767,NA,4,3
145,NY,UMN5553,8,5,4,15.75,82.5,20,other,NA,NA,NA,2.032890146,4.86753445,6,3,213.7128471,NA,5,3
146,NY,IWAF-H-MN1,8,6,4,19.25,82.5,21,selected,MN,MN_IWG,MN_IWG,-0.265698564,4.801285068,6,4,298.8783109,NA,3,4
147,NY,NY19-45,7,6,3,19.25,57.5,22,other,NA,NA,NA,-6.763426781,4.637960006,6,1,254.751651,NA,7,1
148,NY,AVC1,6,6,2,19.25,32.5,23,base,NA,NA,base_WI,2.653766089,4.553876892,7,3,264.5690936,11.92036616,4,3
149,NY,AVC5,5,7,1,22.75,7.5,25,base,NA,NA,base_WI,-5.686180623,4.841558967,6,3,282.6215816,NA,6,3
